category_id,category,parent_domain,subcategory_id,subcategory,category_type,description,aliases,official_source_url,source_scope,answer_policy,risk_tier,researched_on
CAT-001,Office of Academic Affairs,Administration and Governance,CAT-001-S01,mission leadership and organization,administrative_office,"Queries about Office of Academic Affairs, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Office of Academic Affairs | McNeese Academic Affairs | Academic Affairs,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",low,2026-08-03
CAT-001,Office of Academic Affairs,Administration and Governance,CAT-001-S02,services responsibilities and procedures,administrative_office,"Queries about Office of Academic Affairs, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Office of Academic Affairs | McNeese Academic Affairs | Academic Affairs,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",low,2026-08-03
CAT-001,Office of Academic Affairs,Administration and Governance,CAT-001-S03,forms templates and required documents,administrative_office,"Queries about Office of Academic Affairs, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Office of Academic Affairs | McNeese Academic Affairs | Academic Affairs,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",low,2026-08-03
CAT-001,Office of Academic Affairs,Administration and Governance,CAT-001-S04,policies standards and compliance,administrative_office,"Queries about Office of Academic Affairs, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Office of Academic Affairs | McNeese Academic Affairs | Academic Affairs,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",low,2026-08-03
CAT-001,Office of Academic Affairs,Administration and Governance,CAT-001-S05,contacts location and office hours,administrative_office,"Queries about Office of Academic Affairs, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Office of Academic Affairs | McNeese Academic Affairs | Academic Affairs,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",low,2026-08-03
CAT-001,Office of Academic Affairs,Administration and Governance,CAT-001-S06,deadlines calendars and processing times,administrative_office,"Queries about Office of Academic Affairs, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Office of Academic Affairs | McNeese Academic Affairs | Academic Affairs,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",low,2026-08-03
CAT-001,Office of Academic Affairs,Administration and Governance,CAT-001-S07,reports data and public records,administrative_office,"Queries about Office of Academic Affairs, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Office of Academic Affairs | McNeese Academic Affairs | Academic Affairs,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",low,2026-08-03
CAT-001,Office of Academic Affairs,Administration and Governance,CAT-001-S08,problems appeals complaints and escalation,administrative_office,"Queries about Office of Academic Affairs, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Office of Academic Affairs | McNeese Academic Affairs | Academic Affairs,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",low,2026-08-03
CAT-002,Academic Computing Center,Technology and Systems,CAT-002-S01,access login and authentication,academic_system,"Queries about Academic Computing Center, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Academic Computing Center | McNeese ACC | Academic Computing Center ACC,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",medium,2026-08-03
CAT-002,Academic Computing Center,Technology and Systems,CAT-002-S02,search browse and navigation,academic_system,"Queries about Academic Computing Center, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Academic Computing Center | McNeese ACC | Academic Computing Center ACC,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",medium,2026-08-03
CAT-002,Academic Computing Center,Technology and Systems,CAT-002-S03,dates deadlines and term availability,academic_system,"Queries about Academic Computing Center, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Academic Computing Center | McNeese ACC | Academic Computing Center ACC,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",medium,2026-08-03
CAT-002,Academic Computing Center,Technology and Systems,CAT-002-S04,requirements restrictions and holds,academic_system,"Queries about Academic Computing Center, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Academic Computing Center | McNeese ACC | Academic Computing Center ACC,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",medium,2026-08-03
CAT-002,Academic Computing Center,Technology and Systems,CAT-002-S05,records forms exports and confirmations,academic_system,"Queries about Academic Computing Center, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Academic Computing Center | McNeese ACC | Academic Computing Center ACC,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",medium,2026-08-03
CAT-002,Academic Computing Center,Technology and Systems,CAT-002-S06,errors troubleshooting and support,academic_system,"Queries about Academic Computing Center, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Academic Computing Center | McNeese ACC | Academic Computing Center ACC,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",medium,2026-08-03
CAT-002,Academic Computing Center,Technology and Systems,CAT-002-S07,data fields status meanings and interpretation,academic_system,"Queries about Academic Computing Center, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Academic Computing Center | McNeese ACC | Academic Computing Center ACC,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",medium,2026-08-03
CAT-002,Academic Computing Center,Technology and Systems,CAT-002-S08,privacy security and authorized access,academic_system,"Queries about Academic Computing Center, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Academic Computing Center | McNeese ACC | Academic Computing Center ACC,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",medium,2026-08-03
CAT-003,Accessibility Services,Student Support,CAT-003-S01,eligibility and who can use the service,student_service,"Queries about Accessibility Services, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Accessibility Services | McNeese Accessibility | Disability Services McNeese,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",medium,2026-08-03
CAT-003,Accessibility Services,Student Support,CAT-003-S02,services programs and available support,student_service,"Queries about Accessibility Services, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Accessibility Services | McNeese Accessibility | Disability Services McNeese,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",medium,2026-08-03
CAT-003,Accessibility Services,Student Support,CAT-003-S03,appointments applications and access steps,student_service,"Queries about Accessibility Services, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Accessibility Services | McNeese Accessibility | Disability Services McNeese,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",medium,2026-08-03
CAT-003,Accessibility Services,Student Support,CAT-003-S04,forms documents and preparation,student_service,"Queries about Accessibility Services, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Accessibility Services | McNeese Accessibility | Disability Services McNeese,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",medium,2026-08-03
CAT-003,Accessibility Services,Student Support,CAT-003-S05,costs fees insurance and funding,student_service,"Queries about Accessibility Services, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Accessibility Services | McNeese Accessibility | Disability Services McNeese,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",medium,2026-08-03
CAT-003,Accessibility Services,Student Support,CAT-003-S06,contacts location hours and accessibility,student_service,"Queries about Accessibility Services, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Accessibility Services | McNeese Accessibility | Disability Services McNeese,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",medium,2026-08-03
CAT-003,Accessibility Services,Student Support,CAT-003-S07,policies confidentiality and student rights,student_service,"Queries about Accessibility Services, including its public services, requirements, processes, contacts, dates, policies, troubleshooting, and relevant external sources.",Accessibility Services | McNeese Accessibility | Disability Services McNeese,https://www.mcneese.edu/a-to-z/,official McNeese first; authoritative government/partner sources second; verified external discovery when the intent requires it,"Return typed fields, source URL, publication/update date when available, and verification timestamp. Label external options separately from official McNeese information.",medium,2026-08-03
