Source ID,Source Name,Source URL,Department / Owner,Source Type,Information Category,Primary Audience,Public / Private Status,Approval Status,Approved By,Last Checked Date,Update Frequency,Trust Level,Allowed for AI Retrieval,Crawl Scope,Auth Required,Content Sensitivity,Primary Use Case,Notes / Issues
SRC-001,McNeese Main Website Root,https://www.mcneese.edu/,University Marketing / Web Communications,Official website root,University Overview / Navigation,Public / all audiences,Public,Pending,TBD,6/9/2026,Daily/Weekly,High,Yes,Root page + public navigation only,No,Low,Use as the public navigation root and top-level source discovery map.,"Use for source discovery, not as the main answer source when a more specific page exists."
SRC-002,Admissions Overview,https://www.mcneese.edu/admissions/,Office of Admissions,Website section,Admissions / Future Students,Future students / parents,Public,Approved,Prince Pudasaini (PM),6/9/2026,Semesterly,High,Yes,Page + child admissions pages,No,Low,"Answer admission deadlines, applicant types, freshman/transfer/online/graduate/international pathways.",High priority for prospective-student assistant queries.
SRC-003,International Student Services,https://www.mcneese.edu/international/,International Student Services,Website section,International Admissions / Student Services,International students,Public,Pending,TBD,6/9/2026,Semesterly,High,Yes,Page + child international pages,No,Medium,"Answer international admission, immigration support, and international student resource questions.",Review carefully for immigration/legal sensitivity; cite source directly.
SRC-004,Estimated Costs,https://www.mcneese.edu/admissions/estimated-costs/,Admissions / Student Central / Business Affairs,Website page,Tuition / Cost / Financial Planning,Future students / parents / current students,Public,Approved,Prince Pudasaini (PM),6/9/2026,Yearly/Semesterly,High,Yes,Single page + linked cost tables/forms,No,Low,"Answer estimated tuition, fees, and attendance-cost questions.",Cost data changes often; set recrawl priority high before each term.
SRC-005,Financial Aid,https://www.mcneese.edu/financial-aid/,Office of Financial Aid,Website section,Financial Aid,Future/current students,Public,Approved,Prince Pudasaini (PM),6/9/2026,Semesterly,High,Yes,Page + child financial-aid pages,No,Medium,"Answer FAFSA, aid, grants, loans, and aid office process questions.",Financial data can be high-stakes; require citations and last-checked date.
SRC-006,Scholarships,https://www.mcneese.edu/student-central/scholarships/,Student Central / Scholarships Office,Website section,Scholarships,Future/current students,Public,Approved,Prince Pudasaini (PM),6/9/2026,Semesterly/Yearly,High,Yes,Page + child scholarship pages,No,Low,"Answer scholarship availability, eligibility, and application-process questions.",Redirects from /scholarships/ to Student Central scholarship page.
SRC-007,Undergraduate Programs,https://www.mcneese.edu/academics/undergraduate-programs/,Academic Affairs / Colleges,Website section,Academic Programs,Future/current students,Public,Approved,Prince Pudasaini (PM),6/9/2026,Yearly/Semesterly,High,Yes,Page + program detail pages,No,Low,"Answer undergraduate program, major, and degree-discovery questions.",Use catalog as source of truth for exact degree requirements.
SRC-008,Graduate Programs,https://www.mcneese.edu/academics/graduate-programs/,Dor̩ School of Graduate Studies / Academic Affairs,Website section,Graduate Programs,Prospective/current graduate students,Public,Pending,TBD,6/9/2026,Yearly/Semesterly,High,Yes,Page + program detail pages,No,Low,Answer graduate program and certificate discovery questions.,Use catalog/graduate school pages for exact requirements.
SRC-009,Online Programs,https://www.mcneese.edu/academics/online-program/,McNeese Online / Academic Affairs,Website section,Online Programs,Online learners,Public,Pending,TBD,6/9/2026,Semesterly,High,Yes,Page + online program pages,No,Low,Answer online program availability and related admissions questions.,Confirm exact program counts before public release.
SRC-010,Colleges and Departments,https://www.mcneese.edu/academics/colleges-and-departments/,Academic Affairs,Website directory,Colleges / Departments,Public / students,Public,Pending,TBD,6/9/2026,Yearly,High,Yes,Directory page + department child pages,No,Low,"Route questions to the correct college, department, or academic unit.",High value for source routing and department ownership mapping.
