source_id,name,description,content_type,source_tier,category,base_url,url_template,domain_allowlist,query_template,fetch_mode,trust_level,entity_types,topic_keywords,aliases,enabled,allowed_for_ai_retrieval,allow_chroma_ingest,citation_label,notes
SRC-C-RMP-001,Rate My Professors — McNeese,Student-submitted professor ratings for McNeese State University (school id 587). Never official.,external_companion,C,student_rating,https://www.ratemyprofessors.com/school/587,https://www.ratemyprofessors.com/search/professors/587?q={q},ratemyprofessors.com|www.ratemyprofessors.com,{entity} McNeese professor site:ratemyprofessors.com,structured_adapter,student_rating,faculty_or_staff,"rating|ratings|professor|review|reviews|difficulty|rmp|rate my professor",,true,true,false,Student ratings (Rate My Professors),"Tier C only. Activate solely for rating/student-opinion intents. Do not embed in Chroma. Do not treat as employment/title authority."
SRC-C-LINKEDIN-001,LinkedIn public profiles,Public LinkedIn profile pages when the user explicitly asks for LinkedIn or social profile discovery. Companion evidence only — never official McNeese data.,external_companion,C,social,https://www.linkedin.com/,https://www.linkedin.com/search/results/all/?keywords={q},linkedin.com|www.linkedin.com,{entity} McNeese LinkedIn,link_only,social,faculty_or_staff|campus_organization|student,"linkedin|profile|social",,true,true,false,Public LinkedIn profile,"Tier C. Activate only for explicit LinkedIn/social profile intents. Cite the profile URL in Sources. Prefer one matching profile."
SRC-C-INSTAGRAM-001,Instagram public profiles,Public Instagram profile pages for campus orgs/people when social discovery is in scope. Companion evidence only — never official McNeese data.,external_companion,C,social,https://www.instagram.com/,https://www.instagram.com/explore/search/keyword/?q={q},instagram.com|www.instagram.com,{entity} McNeese Instagram,link_only,social,faculty_or_staff|campus_organization|student,"instagram|profile|social|events",,true,true,false,Public Instagram profile,"Tier C. Platform search hub. Prefer curated McNeese Instagram companions when aliases/keywords match."
SRC-C-FACEBOOK-001,Facebook public pages,Public Facebook pages for campus orgs when social discovery is in scope. Companion evidence only.,external_companion,C,social,https://www.facebook.com/,https://www.facebook.com/search/top/?q={q},facebook.com|www.facebook.com,{entity} McNeese Facebook,link_only,social,faculty_or_staff|campus_organization|student,"facebook|profile|social|events",,true,true,false,Public Facebook page,"Tier C. Platform search hub. Prefer curated McNeese Facebook companions when aliases/keywords match."
SRC-C-FB-MCNEESE-001,McNeese State University — Facebook,Official university Facebook page (MarCom social).,external_companion,C,social,https://www.facebook.com/McNeeseStateU/,,facebook.com|www.facebook.com,McNeese State University Facebook,html_fetch,social,campus_organization,"facebook|social|mcneese|university|official","McNeeseStateU|McNeese State U|official facebook",true,true,false,McNeese Facebook (official),"User-provided + MarCom-recognized. Web mode: attempt public page crawl; login walls fall back to link citation."
SRC-C-FB-ENCS-001,McNeese ENCS — Facebook,Official Engineering and Computer Science Facebook page.,external_companion,C,social,https://www.facebook.com/McNeeseENCS/,,facebook.com|www.facebook.com,McNeese ENCS Engineering Computer Science Facebook,html_fetch,social,campus_organization,"facebook|social|engineering|computer science|encs|cs|coe","McNeeseENCS|ENCS|engineering facebook|computer science facebook",true,true,false,ENCS Facebook,"User-provided. College of Engineering and Computer Science affiliated page."
SRC-C-FB-NSA-001,Nepalese Student Association — Facebook,Nepalese Student Association (NSA) Facebook page.,external_companion,C,social,https://www.facebook.com/nsa.mcneese/,,facebook.com|www.facebook.com,Nepalese Student Association McNeese Facebook NSA,html_fetch,social,campus_organization,"facebook|social|nepali|nepalese|nsa|student association|club|organization","nsa.mcneese|NSA|Nepalese Student Association|Nepali Student Association",true,true,false,NSA Facebook,"User-provided. Recognized campus org social companion."
SRC-C-IG-NSA-001,Nepalese Student Association — Instagram,Nepalese Student Association (NSA) Instagram profile.,external_companion,C,social,https://www.instagram.com/nsamcneese/,,instagram.com|www.instagram.com,Nepalese Student Association McNeese Instagram NSA,html_fetch,social,campus_organization,"instagram|social|nepali|nepalese|nsa|student association|club|organization","nsamcneese|NSA|Nepalese Student Association|Nepali Student Association",true,true,false,NSA Instagram,"User-provided. Recognized campus org social companion."
SRC-C-PRESENCE-001,McNeese Presence (Involve),Official student organizations / engagement platform (Presence / Involve). Public JSON API for org cards: description + social handles. Also listed as SRC-029 in official registry.,external_companion,C,social,https://mcneese.presence.io/organizations,https://api.presence.io/mcneese/v1/organizations/{uri},mcneese.presence.io|presence.io|api.presence.io,McNeese student organizations clubs Presence Involve,structured_adapter,campus_live,campus_organization,"presence|involve|organization|organizations|clubs|student org|get involved|engagement|events|association|nepalese|nsa|acm","presence.io|Involve|student organizations|Nepalese Student Association|NSA",true,true,false,McNeese Presence,"Structured adapter uses api.presence.io/mcneese/v1/organizations. Org questions: list cards or open matching org for description + Facebook/X fields."
SRC-C-IG-MCNEESE-001,McNeese State University — Instagram,Official university Instagram (@mcneese).,external_companion,C,social,https://www.instagram.com/mcneese/,,instagram.com|www.instagram.com,McNeese State University Instagram,html_fetch,social,campus_organization,"instagram|social|mcneese|university|official","@mcneese|mcneese instagram|official instagram",true,true,false,McNeese Instagram (official),"MarCom-recognized official social. Web mode: attempt public profile crawl."
SRC-C-X-MCNEESE-001,McNeese State University — X (Twitter),Official university X / Twitter (@McNeese).,external_companion,C,social,https://x.com/McNeese,,x.com|twitter.com|www.twitter.com|www.x.com,McNeese State University Twitter X,html_fetch,social,campus_organization,"twitter|x|social|mcneese|university|official","@McNeese|mcneese twitter|mcneese x",true,true,false,McNeese X/Twitter (official),"MarCom-recognized official social."
SRC-C-YT-MCNEESE-001,McNeese State University — YouTube,Official university YouTube channel (@McNeeseStateU).,external_companion,C,social,https://www.youtube.com/@McNeeseStateU,,youtube.com|www.youtube.com|m.youtube.com,McNeese State University YouTube,html_fetch,social,campus_organization,"youtube|video|social|mcneese|commencement|livestream","@McNeeseStateU|McNeese YouTube",true,true,false,McNeese YouTube (official),"MarCom-recognized official social / livestream channel."
SRC-C-LI-MCNEESE-001,McNeese State University — LinkedIn,Official university LinkedIn school page.,external_companion,C,social,https://www.linkedin.com/school/mcneese-state-university/,,linkedin.com|www.linkedin.com,McNeese State University LinkedIn school,html_fetch,social,campus_organization,"linkedin|social|mcneese|university|official|career","mcneese-state-university|McNeese LinkedIn",true,true,false,McNeese LinkedIn (official),"Official school page on LinkedIn."
SRC-C-FB-SPORTS-001,McNeese Athletics — Facebook,Official McNeese Athletics / sports Facebook page.,external_companion,C,social,https://www.facebook.com/McNeeseSports/,,facebook.com|www.facebook.com,McNeese Athletics Sports Facebook Cowboys Cowgirls,html_fetch,social,campus_organization,"facebook|social|athletics|sports|cowboys|cowgirls|football|basketball","McNeeseSports|McNeese Sports|athletics facebook",true,true,false,McNeese Athletics Facebook,"Athletics-affiliated external social (pairs with SRC-028 mcneesesports.com)."
SRC-C-IG-SPORTS-001,McNeese Athletics — Instagram,Official McNeese Athletics Instagram (@mcneesesports).,external_companion,C,social,https://www.instagram.com/mcneesesports/,,instagram.com|www.instagram.com,McNeese Athletics Sports Instagram Cowboys Cowgirls,html_fetch,social,campus_organization,"instagram|social|athletics|sports|cowboys|cowgirls","@mcneesesports|McNeese Sports Instagram",true,true,false,McNeese Athletics Instagram,"Athletics-affiliated external social."
SRC-C-LI-ACM-001,McNeese ACM — LinkedIn,McNeese ACM Student Chapter LinkedIn company page.,external_companion,C,social,https://www.linkedin.com/company/mcneese-acm-student-chapter,,linkedin.com|www.linkedin.com,McNeese ACM Student Chapter LinkedIn,html_fetch,social,campus_organization,"linkedin|social|acm|computer science|computing|student chapter","McNeese ACM|ACM student chapter",true,true,false,McNeese ACM LinkedIn,"Recognized campus org (computing) social companion."
SRC-C-IG-ACM-001,McNeese ACM — Instagram,McNeese ACM Student Chapter Instagram (@mcneeseacm).,external_companion,C,social,https://www.instagram.com/mcneeseacm/,,instagram.com|www.instagram.com,McNeese ACM Instagram,html_fetch,social,campus_organization,"instagram|social|acm|computer science|computing|student chapter","@mcneeseacm|McNeese ACM",true,true,false,McNeese ACM Instagram,"Recognized campus org (computing) social companion."
