TicketNo,JobDone,When,Who,How,Notes
1,Elected as Project Manager of AskMcNeese,2026-03-25,Prince Pudasaini,Physical meeting at Drew 317,ACM chapter elections
2,Proposed the Summer Project to ACM,2026-04-29,Prince Pudasaini,ACM chapter meeting,Initial project pitch
3,Researched the project and prepared documentation,2026-05-23,Prince Pudasaini,Google Docs and PowerPoint,Feasibility study and planning
4,Presented documents to Dr. Menon and Dr. Vasan,2026-05-26,Prince Pudasaini,Microsoft Teams video conference,Faculty advisor approval
5,Project advising call with Dr. Menon,2026-05-26,Prince Pudasaini,Telephone call,Technical guidance
6,"Held team formation, responsibility distribution, and Sprint 1 assignment meeting",2026-06-06,Prince Pudasaini (PM),Physical meeting at Drew 317,"Team: Prince (PM), Landon (Backend), Evan Weber (Frontend), Content & Knowledge, DevOps/QA roles assigned"
7,Prepared the GitHub repository with the agreed branch strategy,2026-06-07,Prince Pudasaini (PM),GitHub,"main, dev, feature/* branches; repo: mcneeseacm/askmcneese"
8,Built the Project Management ecosystem,2026-06-07,Prince Pudasaini (PM),Google Sheets,Sprint tracking and task management
9,Granted write access to the team for codebase collaboration,2026-06-07,Prince Pudasaini (PM),GitHub,Team member permissions configured
10,Granted access to Sprint planning files for all team members,2026-06-08,Prince Pudasaini (PM),Google Drive,Shared sprint docs and planning materials
11,Updated the AskMcNeese GitHub README,2026-06-08,Prince Pudasaini (PM),GitHub,Sprint 1 foundation language
12,Created the Sprint 1 folder structure under feature/sprint-1-foundation,2026-06-08,Prince Pudasaini (PM),Cursor + GitHub,Sprint 1 - Day 1; backend/frontend/crawler/knowledge/docs structure
13,Created project subdomains under mcneeseacm.com,2026-06-07,Prince Pudasaini (PM),Hostinger,"ask.mcneeseacm.com, dashboard.mcneeseacm.com, admin.mcneeseacm.com, closedbeta.mcneeseacm.com"
14,Merged Sprint 1 foundation into dev via pull request #1,2026-06-09,Prince Pudasaini (PM),GitHub,"Base corrected main->dev; Sprint 1 - Day 2"
15,Synced main into dev to align README revisions,2026-06-09,Prince Pudasaini (PM),GitHub (git merge),"Reason: dev was branched before main's README updates; merged main into dev so dev is complete superset"
16,Created Week 1 sprint backlog for PM/Content/DevOps-QA and shared to dev,2026-06-09,Prince Pudasaini (PM),Cursor + GitHub,"docs/backlog; feature/sprint1-backlog -> PR #2 -> dev; 16 tickets across roles"
17,Reviewed Backend developer Sprint 1 submission,2026-06-14,Prince Pudasaini (PM),Email review + Cursor,"Verdict: partial - submission used Django instead of the required FastAPI and did not include the crawler pipeline; review recorded in internal PM files"
