source_id,source_name,domain,base_url,source_type,authority_tier,category_scope,access_method,authentication,robots_and_terms_policy,refresh_cadence,allowed_use,prohibited_or_restricted_use,trust_score
SRC-001,McNeese main website,mcneese.edu,https://www.mcneese.edu/,university_official,1,all McNeese categories,"HTML, sitemap, structured data, search discovery",no,check robots.txt and page terms; cache politely,daily to monthly by page type,Canonical source for public university information.,Do not cross authentication boundaries or store personal records.,100
SRC-002,McNeese A-Z directory,mcneese.edu,https://www.mcneese.edu/a-to-z/,university_official,1,offices departments contacts,HTML,no,check robots.txt; low-rate refresh,weekly,"Entity discovery, aliases, phones, emails, canonical office links.",Do not infer private staff information.,100
SRC-003,McNeese Academic Catalog,catalog.mcneese.edu,https://catalog.mcneese.edu/,university_official,1,programs curriculum policies courses,HTML and catalog search,no,respect robots and vendor terms,weekly during catalog changes,"Degree requirements, course descriptions, prerequisites, academic rules.",Do not treat archived catalogs as current without catalog-year labeling.,100
SRC-004,McNeese Class Search,schedule.mcneese.edu,https://schedule.mcneese.edu/,university_official,1,live course sections schedules,public search interface,sometimes,respect session limits and vendor terms,daily in registration periods,"Current section availability, meeting times, instructors when public.",No automated enrollment actions; no credential collection.,100
SRC-005,McNeese Admissions,mcneese.edu,https://www.mcneese.edu/admissions/,university_official,1,admissions recruiting visits costs,HTML,no,check robots.txt,weekly,"Requirements, application pathways, contacts, deadlines.",Do not make binding admission decisions.,100
SRC-006,McNeese Financial Aid,mcneese.edu,https://www.mcneese.edu/about-us/leadership-team/administrative-and-student-affairs/division-of-administrative-and-student-affairs/student-central/financial-aid/,university_official,1,financial aid scholarships,HTML,no,check robots.txt,weekly,Institution-specific aid procedures and contacts.,Do not calculate final eligibility or collect FAFSA credentials.,100
SRC-007,McNeese International,mcneese.edu,https://www.mcneese.edu/admissions/international/,university_official,1,international admissions student services,HTML,no,check robots.txt,weekly,McNeese-specific international requirements and contacts.,Do not provide unauthorized legal determinations.,100
SRC-008,McNeese Student Services,mcneese.edu,https://www.mcneese.edu/studentservices/,university_official,1,student services engagement support,HTML,no,check robots.txt,weekly,Student support and service routing.,Do not expose counseling or protected records.,100
SRC-009,McNeese Student Resources,mcneese.edu,https://www.mcneese.edu/studentservices/resources/,university_official,1,campus and community support,HTML,no,check robots.txt,weekly,Official directory of campus and community resources.,Verify third-party resources before presenting as current.,98
SRC-010,McNeese Housing,mcneesereslife.com,https://mcneesereslife.com/,official_partner,1,housing residential life,HTML and forms,sometimes,respect partner terms and robots,daily in housing cycles,Official on-campus housing information.,No account automation or collection of housing application credentials.,98
SRC-011,McNeese Dining by Sodexo,mcneesedining.sodexomyway.com,https://mcneesedining.sodexomyway.com/,official_partner,1,dining menus meal plans hours,HTML and structured data,no,respect partner terms and robots,daily,"Menus, locations, plans, published nutrition and hours.",Do not scrape authenticated payment accounts.,98
SRC-012,McNeese Athletics,mcneesesports.com,https://mcneesesports.com/,university_official,1,athletics schedules rosters tickets,HTML feeds structured data,no,respect robots and media rights,hourly to daily,"Official athletics schedules, rosters, results, tickets.",Do not republish protected media beyond fair use.,100
SRC-013,Frazar Memorial Library Guides,libguides.mcneese.edu,https://libguides.mcneese.edu/,university_official,1,library research databases,HTML,some resources,respect database licenses and off-campus auth,weekly,"Research guides, library services, public help information.",Never bypass subscription authentication or redistribute licensed content.,100
